id,first_name,last_name,age,gender,email,classroom_id,created_by
1,Phương Anh,Đoàn Thị,16,NU,truongchinh70@yahoo.com,1,system
2,Hữu Quốc,Nguyễn,16,NAM,ngoctho.dang58@yahoo.com,1,system
3,Hoàn Châu,Nguyễn,16,NU,kimphuong.truong@yahoo.com,1,system
4,Thanh Lâm,Phạm,16,NAM,hoanghai_vu1@yahoo.com,1,system
5,Thành Hưng,Phan,17,NAM,trucvy2@gmail.com,2,system
6,Tiểu My,Nguyễn,17,NU,khanhngoc.dinh@hotmail.com,2,system
7,Ái Nhi,Lê Nguyễn,17,NU,xuantruong_hoang44@gmail.com,2,system
8,Phượng,Phan Thị,17,NU,vinhquoc.ha@hotmail.com,2,system
9,Minh Trang,Trần,18,NU,hanhnga29@yahoo.com,3,system
10,Ngọc Tiến,Phùng,18,NAM,quynhnhi.ngo18@gmail.com,3,system
11,Văn An,Võ,18,NAM,anhtai.duong@yahoo.com,3,system
12,Hoàng Anh,Nguyễn Thị,18,NU,thehuan.le81@gmail.com,3,system
13,Quỳnh Chi,Trần Thị,16,NU,khaica_trinh89@hotmail.com,4,system
14,Khánh Duy,Nguyễn Trần,16,NAM,luongtai1@hotmail.com,4,system
15,Minh Duy,Trương ,16,NAM,trieuthanh_vuong8@yahoo.com,4,system
16,Én,Nguyễn Thị,16,NU,thuananh.nguyen@gmail.com,4,system
17,Hương Giang,Nguyễn Thị,17,NU,quockhanh97@gmail.com,5,system
18,Khánh Hà,Trần Mỹ,17,NU,manhdung32@hotmail.com,5,system
19,Ngân Hạnh,Trà,17,NU,mythuan.ly30@hotmail.com,5,system
20,Lan Hương,Lê Thị,17,NU,gianguyen.ly@gmail.com,5,system
21,Huy Lâm,Nguyễn,18,NAM,tamkhanh.phung43@yahoo.com,6,system
22,Nhật Linh,Huỳnh,18,NU,quockhanh_ngo16@hotmail.com,6,system
23,Khánh Linh,Phạm Nguyễn,18,NU,lienkiet.tran@yahoo.com,6,system
24,Diệu Linh,Trương Thị,18,NU,mongquynh_phan@hotmail.com,6,system
25,Khánh Lộc,Nguyễn Quang,16,NAM,duyminh81@gmail.com,7,system
26,Khánh Long,Nguyễn,16,NU,phucnguyen_truong75@hotmail.com,7,system
27,Thanh Luân,Nguyễn,16,NAM,kieugiang.to@yahoo.com,7,system
28,Sông Ngân,Phan Nguyễn,16,NU,sihoang.tran32@gmail.com,7,system
29,Thảo Ngân ,Phan Thị,17,NU,nhuphuong_ho35@yahoo.com,8,system
30,Tuấn Nghĩa,Nguyễn Văn,17,NAM,thienmy_vuong@hotmail.com,8,system
31,Bảo Ngọc,Lê Trần,17,NU,theluc.to@gmail.com,8,system
32,Như Ngọc,Võ Thị,17,NU,ductho_nguyen6@gmail.com,8,system
33,Vĩnh Nguyên,Nguyễn Phúc,18,NAM,vuongtrieu_ho19@yahoo.com,9,system
34,Vân Nhi,Hồ Thị,18,NU,thienhuong98@hotmail.com,9,system
35,Tuyết Nhung,Hồ Thị,18,NU,duyhung_do@hotmail.com,9,system
36,Hồng Nhung,Nguyễn Thị,18,NU,khanhhoi_tran95@gmail.com,9,system
37,Hồng Ny,Lê Thị,16,NU,thanhtin_tran78@gmail.com,10,system
38,Oanh,Lê Thị,16,NU,lamgiang.tang63@yahoo.com,10,system
39,Hoài Phương,Trần Võ,16,NU,phuonghoa.dinh99@yahoo.com,10,system
40,Thị Quý ,Nguyễn,16,NU,phuonglien34@gmail.com,10,system
41,Đình Tài,Nguyễn,17,NAM,thaomy67@yahoo.com,11,system
42,Phương Thanh,Lê Thị,17,NU,thaovy_ho49@yahoo.com,11,system
43,Hiếu Thảo,Lê Thị,17,NU,hoangkim_le38@yahoo.com,11,system
44,Công Thiện,Đặng Huỳnh,17,NAM,thienminh_duong@yahoo.com,11,system
45,Trung Thiện,Phù,18,NAM,hathanh.ngo93@hotmail.com,12,system
46,Ngọc Thịnh,Văn,18,NAM,thanhlam71@hotmail.com,12,system
47,Thông,Huỳnh,18,NAM,hongoanh19@yahoo.com,12,system
48,Diễm Thúy ,Ngô Thị,18,NU,minhman_vuong@hotmail.com,12,system
